"","GOID","TERM"
"1","GO:0000956","nuclear-transcribed mRNA catabolic process"
"2","GO:0000956","nuclear-transcribed mRNA catabolic process"
"3","GO:0000956","nuclear-transcribed mRNA catabolic process"
"4","GO:0000956","nuclear-transcribed mRNA catabolic process"
"5","GO:0000956","nuclear-transcribed mRNA catabolic process"
"6","GO:0000956","nuclear-transcribed mRNA catabolic process"
"7","GO:0000956","nuclear-transcribed mRNA catabolic process"
"8","GO:0000956","nuclear-transcribed mRNA catabolic process"
"9","GO:0000956","nuclear-transcribed mRNA catabolic process"
"10","GO:0000956","nuclear-transcribed mRNA catabolic process"
"11","GO:0000956","nuclear-transcribed mRNA catabolic process"
"12","GO:0000956","nuclear-transcribed mRNA catabolic process"
"13","GO:0000956","nuclear-transcribed mRNA catabolic process"
"14","GO:0000956","nuclear-transcribed mRNA catabolic process"
"15","GO:0000956","nuclear-transcribed mRNA catabolic process"
"16","GO:0000956","nuclear-transcribed mRNA catabolic process"
"17","GO:0000956","nuclear-transcribed mRNA catabolic process"
"18","GO:0000956","nuclear-transcribed mRNA catabolic process"
"19","GO:0000956","nuclear-transcribed mRNA catabolic process"
"20","GO:0000956","nuclear-transcribed mRNA catabolic process"
"21","GO:0000956","nuclear-transcribed mRNA catabolic process"
"22","GO:0000956","nuclear-transcribed mRNA catabolic process"
"23","GO:0000956","nuclear-transcribed mRNA catabolic process"
"24","GO:0000956","nuclear-transcribed mRNA catabolic process"
"25","GO:0000956","nuclear-transcribed mRNA catabolic process"
"26","GO:0000956","nuclear-transcribed mRNA catabolic process"
"27","GO:0000956","nuclear-transcribed mRNA catabolic process"
"28","GO:0000956","nuclear-transcribed mRNA catabolic process"
"29","GO:0000956","nuclear-transcribed mRNA catabolic process"
"30","GO:0000956","nuclear-transcribed mRNA catabolic process"
"31","GO:0000956","nuclear-transcribed mRNA catabolic process"
"32","GO:0000956","nuclear-transcribed mRNA catabolic process"
"33","GO:0000956","nuclear-transcribed mRNA catabolic process"
"34","GO:0000956","nuclear-transcribed mRNA catabolic process"
"35","GO:0000956","nuclear-transcribed mRNA catabolic process"
"36","GO:0000956","nuclear-transcribed mRNA catabolic process"
"37","GO:0000956","nuclear-transcribed mRNA catabolic process"
"38","GO:0000956","nuclear-transcribed mRNA catabolic process"
"39","GO:0000956","nuclear-transcribed mRNA catabolic process"
"40","GO:0000956","nuclear-transcribed mRNA catabolic process"
"41","GO:0000956","nuclear-transcribed mRNA catabolic process"
"42","GO:0000956","nuclear-transcribed mRNA catabolic process"
"43","GO:0000956","nuclear-transcribed mRNA catabolic process"
"44","GO:0000956","nuclear-transcribed mRNA catabolic process"
"45","GO:0000956","nuclear-transcribed mRNA catabolic process"
"46","GO:0000956","nuclear-transcribed mRNA catabolic process"
"47","GO:0000956","nuclear-transcribed mRNA catabolic process"
"48","GO:0000956","nuclear-transcribed mRNA catabolic process"
"49","GO:0000956","nuclear-transcribed mRNA catabolic process"
"50","GO:0000956","nuclear-transcribed mRNA catabolic process"
"51","GO:0000956","nuclear-transcribed mRNA catabolic process"
"52","GO:0000956","nuclear-transcribed mRNA catabolic process"
"53","GO:0000956","nuclear-transcribed mRNA catabolic process"
"54","GO:0000956","nuclear-transcribed mRNA catabolic process"
"55","GO:0000956","nuclear-transcribed mRNA catabolic process"
"56","GO:0000956","nuclear-transcribed mRNA catabolic process"
"57","GO:0000956","nuclear-transcribed mRNA catabolic process"
"58","GO:0000956","nuclear-transcribed mRNA catabolic process"
"59","GO:0000956","nuclear-transcribed mRNA catabolic process"
"60","GO:0000956","nuclear-transcribed mRNA catabolic process"
"61","GO:0000956","nuclear-transcribed mRNA catabolic process"
"62","GO:0000956","nuclear-transcribed mRNA catabolic process"
"63","GO:0000956","nuclear-transcribed mRNA catabolic process"
"64","GO:0000956","nuclear-transcribed mRNA catabolic process"
"65","GO:0000956","nuclear-transcribed mRNA catabolic process"
"66","GO:0000956","nuclear-transcribed mRNA catabolic process"
"67","GO:0000956","nuclear-transcribed mRNA catabolic process"
"68","GO:0000956","nuclear-transcribed mRNA catabolic process"
"69","GO:0000956","nuclear-transcribed mRNA catabolic process"
"70","GO:0000956","nuclear-transcribed mRNA catabolic process"
"71","GO:0000956","nuclear-transcribed mRNA catabolic process"
"72","GO:0000956","nuclear-transcribed mRNA catabolic process"
"73","GO:0000956","nuclear-transcribed mRNA catabolic process"
"74","GO:0000956","nuclear-transcribed mRNA catabolic process"
"75","GO:0000956","nuclear-transcribed mRNA catabolic process"
"76","GO:0000956","nuclear-transcribed mRNA catabolic process"
"77","GO:0000956","nuclear-transcribed mRNA catabolic process"
"78","GO:0000956","nuclear-transcribed mRNA catabolic process"
"79","GO:0000956","nuclear-transcribed mRNA catabolic process"
"80","GO:0000956","nuclear-transcribed mRNA catabolic process"
"81","GO:0000956","nuclear-transcribed mRNA catabolic process"
"82","GO:0000956","nuclear-transcribed mRNA catabolic process"
"83","GO:0000956","nuclear-transcribed mRNA catabolic process"
"84","GO:0000956","nuclear-transcribed mRNA catabolic process"
"85","GO:0000956","nuclear-transcribed mRNA catabolic process"
"86","GO:0000956","nuclear-transcribed mRNA catabolic process"
"87","GO:0000956","nuclear-transcribed mRNA catabolic process"
"88","GO:0000956","nuclear-transcribed mRNA catabolic process"
"89","GO:0000956","nuclear-transcribed mRNA catabolic process"
"90","GO:0000956","nuclear-transcribed mRNA catabolic process"
"91","GO:0000956","nuclear-transcribed mRNA catabolic process"
"92","GO:0000956","nuclear-transcribed mRNA catabolic process"
"93","GO:0000956","nuclear-transcribed mRNA catabolic process"
"94","GO:0000956","nuclear-transcribed mRNA catabolic process"
"95","GO:0000956","nuclear-transcribed mRNA catabolic process"
"96","GO:0000956","nuclear-transcribed mRNA catabolic process"
"97","GO:0000956","nuclear-transcribed mRNA catabolic process"
"98","GO:0000956","nuclear-transcribed mRNA catabolic process"
"99","GO:0000956","nuclear-transcribed mRNA catabolic process"
"100","GO:0000956","nuclear-transcribed mRNA catabolic process"
"101","GO:0000956","nuclear-transcribed mRNA catabolic process"
"102","GO:0000956","nuclear-transcribed mRNA catabolic process"
"103","GO:0000956","nuclear-transcribed mRNA catabolic process"
"104","GO:0000956","nuclear-transcribed mRNA catabolic process"
